domain,domain_Age,lifeSpan,registrar_Country,host_Country,Same_Registrar_Host_Country,Privacy,TLD,cheap_TLD,domain_Has_Hyphen,domain_Has_Digits,top1m
ibm.com,37.73972603,38,UNITED STATES,FRANCE,False,False,com,False,False,False,True
openstreetmap.org,19.33150685,24,UNITED KINGDOM,THE NETHERLANDS,False,True,org,False,False,False,True
apa.org,31.12054795,31,UNITED STATES,UNITED STATES,True,True,org,False,False,False,True
tandfonline.com,18.27671233,19,UNITED STATES,CANADA,False,False,com,False,False,False,True
wiley.com,29.16712329,30,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
googletagmanager.com,12.07123288,13,UNITED STATES,FRANCE,False,False,com,False,False,False,True
wikihow.com,19.49041096,28,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
dell.com,35.05753425,35,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
bing.com,27.86849315,28,UNITED STATES,CANADA,False,False,com,False,False,False,True
princeton.edu,36.69863014,0,UNITED STATES,UNITED STATES,True,False,edu,False,False,False,True
twitch.tv,14.49863014,15,UNITED STATES,UNITED STATES,True,True,tv,False,False,False,True
redhat.com,29.54794521,29,UNITED STATES,UNITED STATES,True,True,com,False,False,False,True
reddit.com,18.6109589,19,UNITED STATES,CANADA,False,False,com,False,False,False,True
guardian.co.uk,27.36164384,0,,UNITED STATES,False,False,co.uk,False,False,False,True
oecd.org,28.99726027,34,UNITED STATES,FRANCE,False,True,org,False,False,False,True
usda.gov,26.19178082,27,REDACTED FOR PRIVACY,UNITED STATES,False,True,gov,False,False,False,True
science.org,28.8,29,UNITED STATES,UNITED STATES,True,True,org,False,False,False,True
epa.gov,26.19178082,26,REDACTED FOR PRIVACY,UNITED STATES,False,True,gov,False,False,False,True
typepad.com,20.69315068,24,UNITED STATES,CANADA,False,True,com,False,False,False,True
example.com,28.32876712,32,,UNITED STATES,False,True,com,False,False,False,True
inc.com,27.76712329,35,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
dw.com,29.01369863,28,GERMANY,GERMANY,True,True,com,False,False,False,True
marketwatch.com,26.36438356,26,UNITED STATES,IRELAND,False,False,com,False,False,False,True
meetup.com,25.30958904,25,UNITED STATES,CANADA,False,False,com,False,False,False,True
perfectdomain.com,21.95342466,23,UNITED STATES,CANADA,False,False,com,False,False,False,True
uci.edu,38.20547945,0,UNITED STATES,UNITED STATES,True,False,edu,False,False,False,True
ft.com,29.03287671,29,UNITED KINGDOM,CANADA,False,False,com,False,False,False,True
cornell.edu,38.41643836,0,UNITED STATES,UNITED STATES,True,False,edu,False,False,False,True
ubuntu.com,19.52876712,20,UNITED KINGDOM,UNITED KINGDOM,True,False,com,False,False,False,True
addthis.com,25.54520548,26,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
mozilla.org,25.87945205,26,UNITED STATES,UNITED STATES,True,True,org,False,False,False,True
surveymonkey.com,24.09315068,25,UNITED STATES,IRELAND,False,False,com,False,False,False,True
yelp.com,19.99178082,22,UNITED STATES,UNITED KINGDOM,False,False,com,False,False,False,True
amzn.to,0.0,1,,UNITED STATES,False,False,to,False,False,False,True
mysql.com,24.85205479,25,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
jstor.org,27.81917808,30,UNITED STATES,UNITED STATES,True,True,org,False,False,False,True
outlook.com,29.31780822,29,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
google.com,26.23835616,30,UNITED STATES,FRANCE,False,False,com,False,False,False,True
loc.gov,26.19178082,26,REDACTED FOR PRIVACY,CANADA,False,True,gov,False,False,False,True
eepurl.com,14.95890411,21,UNITED STATES,FRANCE,False,True,com,False,False,False,True
nginx.com,18.96164384,18,UNITED STATES,FRANCE,False,False,com,False,False,False,True
weibo.com,24.72876712,112,CHINA,CHINA,True,False,com,False,False,False,True
weforum.org,28.04109589,28,UNITED KINGDOM,IRELAND,False,True,org,False,False,False,True
time.com,30.0630137,30,UNITED STATES,IRELAND,False,False,com,False,False,False,True
mailchimp.com,22.44657534,27,UNITED STATES,FRANCE,False,False,com,False,False,False,True
oreilly.com,26.54246575,26,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
salesforce.com,25.02465753,25,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
doi.org,24.89315068,28,UNITED STATES,CANADA,False,True,org,False,False,False,True
fandom.com,27.16712329,29,CANADA,CANADA,True,False,com,False,False,False,True
stanford.edu,38.19452055,0,UNITED STATES,UNITED STATES,True,False,edu,False,False,False,True
berkeley.edu,38.64109589,0,UNITED STATES,UNITED STATES,True,False,edu,False,False,False,True
